Date__(UT)_	R.A._(J2000_	DEC.)
1977-Sep-06	65.4537	25.537
1977-Sep-07	66.57385	25.74445
1977-Sep-08	66.76953	25.78005
1977-Sep-09	66.84421	25.79444
1977-Sep-10	66.87684	25.80155
1977-Sep-11	66.88798	25.80497
1977-Sep-12	66.8852	25.806
1977-Sep-13	66.87182	25.80518
1977-Sep-14	66.84572	25.80157
1977-Sep-15	66.81003	25.796
1977-Sep-16	66.76777	25.78933
1977-Sep-17	66.71893	25.78149
1977-Sep-18	66.66348	25.77243
1977-Sep-19	66.60134	25.7621
1977-Sep-20	66.5324	25.75046
1977-Sep-21	66.45649	25.73746
1977-Sep-22	66.37343	25.72307
1977-Sep-23	66.28297	25.70724
1977-Sep-24	66.18484	25.68992
1977-Sep-25	66.07877	25.67106
1977-Sep-26	65.96444	25.6506
1977-Sep-27	65.84156	25.62847
1977-Sep-28	65.70985	25.60461
1977-Sep-29	65.56903	25.57894
1977-Sep-30	65.41889	25.55138
1977-Oct-01	65.25924	25.52186
1977-Oct-02	65.08996	25.49031
1977-Oct-03	64.91095	25.45665
1977-Oct-04	64.72219	25.42081
1977-Oct-05	64.5237	25.38274
1977-Oct-06	64.31556	25.34236
1977-Oct-07	64.0979	25.29964
1977-Oct-08	63.8709	25.25453
1977-Oct-09	63.63479	25.20698
1977-Oct-10	63.38986	25.15697
1977-Oct-11	63.13644	25.10447
1977-Oct-12	62.87494	25.04949
1977-Oct-13	62.60582	24.99202
1977-Oct-14	62.32959	24.93208
1977-Oct-15	62.0468	24.86971
1977-Oct-16	61.75803	24.80495
1977-Oct-17	61.4639	24.73787
1977-Oct-18	61.165	24.66854
1977-Oct-19	60.86195	24.59704
1977-Oct-20	60.55533	24.52347
1977-Oct-21	60.24571	24.44793
1977-Oct-22	59.93366	24.37051
1977-Oct-23	59.6197	24.29132
1977-Oct-24	59.30436	24.21048
1977-Oct-25	58.98816	24.1281
1977-Oct-26	58.67159	24.04428
1977-Oct-27	58.35517	23.95916
1977-Oct-28	58.03936	23.87285
1977-Oct-29	57.72467	23.78547
1977-Oct-30	57.41158	23.69717
1977-Oct-31	57.10058	23.60806
1977-Nov-01	56.79213	23.51829
1977-Nov-02	56.48671	23.42799
1977-Nov-03	56.18479	23.3373
1977-Nov-04	55.88683	23.24637
1977-Nov-05	55.59328	23.15533
1977-Nov-06	55.30459	23.06434
1977-Nov-07	55.02118	22.97354
1977-Nov-08	54.74348	22.88307
1977-Nov-09	54.4719	22.79308
1977-Nov-10	54.20686	22.70373
1977-Nov-11	53.94874	22.61515
1977-Nov-12	53.69792	22.5275
1977-Nov-13	53.45477	22.44092
1977-Nov-14	53.21959	22.35555
1977-Nov-15	52.99268	22.27152
1977-Nov-16	52.77428	22.18898
1977-Nov-17	52.5646	22.10802
1977-Nov-18	52.3638	22.02878
1977-Nov-19	52.17201	21.95134
1977-Nov-20	51.98934	21.87579
1977-Nov-21	51.81584	21.80223
1977-Nov-22	51.65158	21.73072
1977-Nov-23	51.49657	21.66132
1977-Nov-24	51.35083	21.5941
1977-Nov-25	51.21436	21.5291
1977-Nov-26	51.08713	21.46637
1977-Nov-27	50.96912	21.40594
1977-Nov-28	50.86029	21.34785
1977-Nov-29	50.76061	21.29212
1977-Nov-30	50.67001	21.23877
1977-Dec-01	50.58845	21.18782
1977-Dec-02	50.51586	21.13928
1977-Dec-03	50.45217	21.09315
1977-Dec-04	50.39733	21.04945
1977-Dec-05	50.35126	21.00817
1977-Dec-06	50.31389	20.9693
1977-Dec-07	50.28514	20.93286
1977-Dec-08	50.26496	20.89882
1977-Dec-09	50.25326	20.86718
1977-Dec-10	50.24997	20.83792
1977-Dec-11	50.25503	20.81104
1977-Dec-12	50.26833	20.78652
1977-Dec-13	50.28978	20.76434
